name,description,traits
Bargain Hunter,An extremely price-sensitive shopper who researches deals extensively before purchasing.,"{""money_sensitivity"": 10, ""open_mindedness"": 5, ""tech_savviness"": 7, ""peer_influence"": 5, ""ad_trust"": 3, ""risk_appetite"": 3, ""social_class"": 4, ""age_attitude"": 5}"
Fitness Influencer,A social media savvy individual who promotes lifestyle brands and fitness culture.,"{""money_sensitivity"": 5, ""open_mindedness"": 8, ""tech_savviness"": 9, ""peer_influence"": 10, ""ad_trust"": 4, ""risk_appetite"": 7, ""social_class"": 7, ""age_attitude"": 8}"
Rural Conservative,A traditional values-oriented individual who is skeptical of new trends and loyal to established brands.,"{""money_sensitivity"": 8, ""open_mindedness"": 3, ""tech_savviness"": 3, ""peer_influence"": 4, ""ad_trust"": 7, ""risk_appetite"": 2, ""social_class"": 5, ""age_attitude"": 3}"
Tech Executive,A high-earning technology professional who values innovation and cutting-edge solutions.,"{""money_sensitivity"": 3, ""open_mindedness"": 8, ""tech_savviness"": 10, ""peer_influence"": 5, ""ad_trust"": 4, ""risk_appetite"": 8, ""social_class"": 9, ""age_attitude"": 7}"
Empty Nester,A middle-aged parent with grown children who has newfound freedom and spending power.,"{""money_sensitivity"": 5, ""open_mindedness"": 6, ""tech_savviness"": 5, ""peer_influence"": 5, ""ad_trust"": 7, ""risk_appetite"": 4, ""social_class"": 7, ""age_attitude"": 4}"
Fashion Forward Millennial,A style-conscious individual who follows fashion trends and shops frequently online.,"{""money_sensitivity"": 6, ""open_mindedness"": 8, ""tech_savviness"": 8, ""peer_influence"": 9, ""ad_trust"": 5, ""risk_appetite"": 6, ""social_class"": 6, ""age_attitude"": 8}"
Blue Collar Worker,A practical individual who values durability and function over style with modest income.,"{""money_sensitivity"": 9, ""open_mindedness"": 4, ""tech_savviness"": 4, ""peer_influence"": 4, ""ad_trust"": 6, ""risk_appetite"": 3, ""social_class"": 4, ""age_attitude"": 5}"
New Parent,A first-time parent focused on baby products who is safety-conscious and sleep-deprived.,"{""money_sensitivity"": 7, ""open_mindedness"": 6, ""tech_savviness"": 6, ""peer_influence"": 8, ""ad_trust"": 6, ""risk_appetite"": 2, ""social_class"": 6, ""age_attitude"": 7}"
Gaming Streamer,A content creator who monetizes gaming and is obsessed with the latest technology.,"{""money_sensitivity"": 7, ""open_mindedness"": 7, ""tech_savviness"": 10, ""peer_influence"": 8, ""ad_trust"": 3, ""risk_appetite"": 7, ""social_class"": 5, ""age_attitude"": 9}"
Retirement Planner,A pre-retiree focused on financial security and conservative investment strategies.,"{""money_sensitivity"": 7, ""open_mindedness"": 3, ""tech_savviness"": 4, ""peer_influence"": 3, ""ad_trust"": 8, ""risk_appetite"": 2, ""social_class"": 7, ""age_attitude"": 2}"
Urban Foodie,A city dweller passionate about dining experiences and willing to try new cuisines.,"{""money_sensitivity"": 5, ""open_mindedness"": 9, ""tech_savviness"": 7, ""peer_influence"": 8, ""ad_trust"": 5, ""risk_appetite"": 7, ""social_class"": 7, ""age_attitude"": 7}"
DIY Enthusiast,A hands-on individual who enjoys home improvement projects and researches products thoroughly.,"{""money_sensitivity"": 8, ""open_mindedness"": 6, ""tech_savviness"": 6, ""peer_influence"": 4, ""ad_trust"": 5, ""risk_appetite"": 4, ""social_class"": 6, ""age_attitude"": 6}"
Premium Pet Owner,A pet lover who treats animals like family and spends heavily on pet products and services.,"{""money_sensitivity"": 3, ""open_mindedness"": 7, ""tech_savviness"": 6, ""peer_influence"": 7, ""ad_trust"": 6, ""risk_appetite"": 4, ""social_class"": 7, ""age_attitude"": 6}"
Minimalist Consumer,A simplicity-focused individual who buys fewer but higher-quality items with anti-consumption mindset.,"{""money_sensitivity"": 6, ""open_mindedness"": 7, ""tech_savviness"": 6, ""peer_influence"": 3, ""ad_trust"": 3, ""risk_appetite"": 3, ""social_class"": 6, ""age_attitude"": 6}"
Travel Blogger,A digital nomad who documents travel experiences and values experiences over possessions.,"{""money_sensitivity"": 6, ""open_mindedness"": 10, ""tech_savviness"": 9, ""peer_influence"": 9, ""ad_trust"": 4, ""risk_appetite"": 8, ""social_class"": 6, ""age_attitude"": 8}"
Healthcare Professional,A medical worker with stable income who values evidence-based products and solutions.,"{""money_sensitivity"": 5, ""open_mindedness"": 6, ""tech_savviness"": 6, ""peer_influence"": 5, ""ad_trust"": 6, ""risk_appetite"": 3, ""social_class"": 8, ""age_attitude"": 5}"
Gen X Skeptic,A middle-aged individual who is cynical about marketing and values authenticity.,"{""money_sensitivity"": 7, ""open_mindedness"": 4, ""tech_savviness"": 5, ""peer_influence"": 3, ""ad_trust"": 3, ""risk_appetite"": 4, ""social_class"": 6, ""age_attitude"": 4}"
Social Media Addict,An individual constantly online who is influenced by social proof and makes impulse purchases.,"{""money_sensitivity"": 6, ""open_mindedness"": 7, ""tech_savviness"": 8, ""peer_influence"": 10, ""ad_trust"": 6, ""risk_appetite"": 6, ""social_class"": 5, ""age_attitude"": 8}"
Budget-Conscious Family,"A large family that prioritizes value, bulk purchases, and practical needs over luxury.","{""money_sensitivity"": 10, ""open_mindedness"": 5, ""tech_savviness"": 5, ""peer_influence"": 6, ""ad_trust"": 7, ""risk_appetite"": 2, ""social_class"": 4, ""age_attitude"": 5}"
Luxury Car Enthusiast,A high-income individual passionate about premium automotive brands and performance.,"{""money_sensitivity"": 2, ""open_mindedness"": 6, ""tech_savviness"": 7, ""peer_influence"": 6, ""ad_trust"": 5, ""risk_appetite"": 6, ""social_class"": 9, ""age_attitude"": 6}"
Artisanal Craft Lover,"An individual who appreciates handmade, unique products and supports small businesses.","{""money_sensitivity"": 4, ""open_mindedness"": 8, ""tech_savviness"": 5, ""peer_influence"": 6, ""ad_trust"": 6, ""risk_appetite"": 5, ""social_class"": 7, ""age_attitude"": 6}"
Privacy Advocate,A highly privacy-conscious individual who uses ad blockers and prefers anonymous transactions.,"{""money_sensitivity"": 6, ""open_mindedness"": 7, ""tech_savviness"": 9, ""peer_influence"": 2, ""ad_trust"": 1, ""risk_appetite"": 3, ""social_class"": 7, ""age_attitude"": 6}"
Impulse Shopper,An individual who makes spontaneous purchases and is easily influenced by sales and promotions.,"{""money_sensitivity"": 5, ""open_mindedness"": 8, ""tech_savviness"": 6, ""peer_influence"": 8, ""ad_trust"": 7, ""risk_appetite"": 7, ""social_class"": 6, ""age_attitude"": 7}"
B2B Decision Maker,A corporate executive who makes large-scale purchasing decisions for their company.,"{""money_sensitivity"": 6, ""open_mindedness"": 6, ""tech_savviness"": 7, ""peer_influence"": 4, ""ad_trust"": 5, ""risk_appetite"": 4, ""social_class"": 8, ""age_attitude"": 5}"
Subscription Service User,An individual who embraces recurring payments for convenience and subscribes to multiple services.,"{""money_sensitivity"": 4, ""open_mindedness"": 8, ""tech_savviness"": 8, ""peer_influence"": 6, ""ad_trust"": 6, ""risk_appetite"": 6, ""social_class"": 7, ""age_attitude"": 7}"
Frugal Retiree,A fixed-income senior citizen who carefully considers every purchase and values tradition.,"{""money_sensitivity"": 10, ""open_mindedness"": 2, ""tech_savviness"": 3, ""peer_influence"": 4, ""ad_trust"": 7, ""risk_appetite"": 1, ""social_class"": 5, ""age_attitude"": 1}"
Gig Economy Worker,A freelancer with irregular income who values flexibility and cost-effectiveness.,"{""money_sensitivity"": 9, ""open_mindedness"": 7, ""tech_savviness"": 8, ""peer_influence"": 5, ""ad_trust"": 4, ""risk_appetite"": 6, ""social_class"": 5, ""age_attitude"": 7}"
Gadget Early Adopter,An individual who always buys the latest tech gadgets and devices as soon as they're released.,"{""money_sensitivity"": 3, ""open_mindedness"": 9, ""tech_savviness"": 10, ""peer_influence"": 6, ""ad_trust"": 5, ""risk_appetite"": 9, ""social_class"": 8, ""age_attitude"": 8}"
Brand Loyalist,"An individual who sticks to trusted brands, is resistant to switching, and values consistency.","{""money_sensitivity"": 6, ""open_mindedness"": 3, ""tech_savviness"": 5, ""peer_influence"": 4, ""ad_trust"": 8, ""risk_appetite"": 2, ""social_class"": 6, ""age_attitude"": 4}"
Sustainable Fashion Advocate,An individual conscious about fashion industry impact who buys ethically-made clothing.,"{""money_sensitivity"": 5, ""open_mindedness"": 9, ""tech_savviness"": 7, ""peer_influence"": 7, ""ad_trust"": 5, ""risk_appetite"": 4, ""social_class"": 7, ""age_attitude"": 7}"
Investment Newcomer,A young professional just starting to invest and learning about financial products.,"{""money_sensitivity"": 7, ""open_mindedness"": 8, ""tech_savviness"": 7, ""peer_influence"": 7, ""ad_trust"": 5, ""risk_appetite"": 5, ""social_class"": 6, ""age_attitude"": 8}"
Local Business Supporter,An individual who prefers shopping at local establishments over chains and is community-focused.,"{""money_sensitivity"": 6, ""open_mindedness"": 6, ""tech_savviness"": 4, ""peer_influence"": 6, ""ad_trust"": 7, ""risk_appetite"": 3, ""social_class"": 6, ""age_attitude"": 5}"
Busy Executive,"A time-poor, high-income professional who values convenience and premium services.","{""money_sensitivity"": 2, ""open_mindedness"": 5, ""tech_savviness"": 7, ""peer_influence"": 4, ""ad_trust"": 6, ""risk_appetite"": 5, ""social_class"": 9, ""age_attitude"": 5}"
Millennial Parent,A tech-savvy parent balancing career and family who researches products online extensively.,"{""money_sensitivity"": 7, ""open_mindedness"": 7, ""tech_savviness"": 8, ""peer_influence"": 7, ""ad_trust"": 5, ""risk_appetite"": 4, ""social_class"": 7, ""age_attitude"": 7}"
Value Seeker,"A middle-income consumer who balances quality and price, comparing options extensively.","{""money_sensitivity"": 8, ""open_mindedness"": 6, ""tech_savviness"": 6, ""peer_influence"": 5, ""ad_trust"": 5, ""risk_appetite"": 4, ""social_class"": 6, ""age_attitude"": 6}"
Outdoor Adventure Enthusiast,An active lifestyle devotee who invests in quality outdoor gear and experiences.,"{""money_sensitivity"": 4, ""open_mindedness"": 7, ""tech_savviness"": 6, ""peer_influence"": 6, ""ad_trust"": 6, ""risk_appetite"": 7, ""social_class"": 7, ""age_attitude"": 7}"
Smart Home Enthusiast,An individual who embraces home automation technology and values connectivity and efficiency.,"{""money_sensitivity"": 5, ""open_mindedness"": 8, ""tech_savviness"": 9, ""peer_influence"": 5, ""ad_trust"": 5, ""risk_appetite"": 7, ""social_class"": 7, ""age_attitude"": 7}"
Nostalgic Consumer,An individual drawn to retro and vintage products who values tradition and heritage brands.,"{""money_sensitivity"": 6, ""open_mindedness"": 4, ""tech_savviness"": 4, ""peer_influence"": 5, ""ad_trust"": 7, ""risk_appetite"": 3, ""social_class"": 6, ""age_attitude"": 3}"
Status-Conscious Professional,A career-driven individual who buys products that enhance their professional image.,"{""money_sensitivity"": 4, ""open_mindedness"": 6, ""tech_savviness"": 7, ""peer_influence"": 8, ""ad_trust"": 6, ""risk_appetite"": 5, ""social_class"": 8, ""age_attitude"": 6}"
Content Creator,"An individual who produces digital content, monetizes their audience, and needs creation tools.","{""money_sensitivity"": 6, ""open_mindedness"": 8, ""tech_savviness"": 9, ""peer_influence"": 9, ""ad_trust"": 4, ""risk_appetite"": 7, ""social_class"": 6, ""age_attitude"": 8}"
Cryptocurrency Day Trader,A high-risk investor who trades digital currencies frequently and lives on market volatility.,"{""money_sensitivity"": 4, ""open_mindedness"": 8, ""tech_savviness"": 10, ""peer_influence"": 6, ""ad_trust"": 2, ""risk_appetite"": 10, ""social_class"": 7, ""age_attitude"": 8}"
Homeschooling Parent,A dedicated parent focused on children's education who researches educational products extensively.,"{""money_sensitivity"": 8, ""open_mindedness"": 6, ""tech_savviness"": 6, ""peer_influence"": 6, ""ad_trust"": 6, ""risk_appetite"": 3, ""social_class"": 6, ""age_attitude"": 5}"
Vintage Collector,An individual passionate about antiques and collectibles who values rarity and historical significance.,"{""money_sensitivity"": 4, ""open_mindedness"": 6, ""tech_savviness"": 3, ""peer_influence"": 4, ""ad_trust"": 5, ""risk_appetite"": 6, ""social_class"": 7, ""age_attitude"": 4}"
Remote Work Nomad,A location-independent professional who works from anywhere and values portability.,"{""money_sensitivity"": 6, ""open_mindedness"": 9, ""tech_savviness"": 9, ""peer_influence"": 6, ""ad_trust"": 4, ""risk_appetite"": 7, ""social_class"": 6, ""age_attitude"": 8}"
Wellness Coach,A health and fitness professional who promotes holistic lifestyle approaches.,"{""money_sensitivity"": 5, ""open_mindedness"": 8, ""tech_savviness"": 7, ""peer_influence"": 8, ""ad_trust"": 5, ""risk_appetite"": 5, ""social_class"": 7, ""age_attitude"": 7}"
Competitive Gamer,A professional esports player who invests heavily in gaming equipment and performance.,"{""money_sensitivity"": 4, ""open_mindedness"": 7, ""tech_savviness"": 10, ""peer_influence"": 7, ""ad_trust"": 4, ""risk_appetite"": 7, ""social_class"": 6, ""age_attitude"": 9}"
Single Urban Professional,A young city dweller with disposable income who values convenience and experiences.,"{""money_sensitivity"": 5, ""open_mindedness"": 8, ""tech_savviness"": 8, ""peer_influence"": 7, ""ad_trust"": 5, ""risk_appetite"": 6, ""social_class"": 7, ""age_attitude"": 8}"
Craft Beer Enthusiast,An individual who appreciates artisanal brewing and is willing to pay premium for unique flavors.,"{""money_sensitivity"": 4, ""open_mindedness"": 8, ""tech_savviness"": 6, ""peer_influence"": 7, ""ad_trust"": 5, ""risk_appetite"": 6, ""social_class"": 7, ""age_attitude"": 7}"
Mindfulness Practitioner,"An individual focused on mental wellness, meditation, and stress reduction products and services.","{""money_sensitivity"": 6, ""open_mindedness"": 8, ""tech_savviness"": 5, ""peer_influence"": 5, ""ad_trust"": 6, ""risk_appetite"": 3, ""social_class"": 6, ""age_attitude"": 6}"
Extreme Sports Athlete,An adrenaline seeker who participates in high-risk sports and values performance gear.,"{""money_sensitivity"": 4, ""open_mindedness"": 7, ""tech_savviness"": 6, ""peer_influence"": 6, ""ad_trust"": 5, ""risk_appetite"": 10, ""social_class"": 7, ""age_attitude"": 8}"
Sustainable Living Advocate,A zero-waste lifestyle follower who prioritizes environmental impact in all purchases.,"{""money_sensitivity"": 6, ""open_mindedness"": 9, ""tech_savviness"": 6, ""peer_influence"": 6, ""ad_trust"": 4, ""risk_appetite"": 4, ""social_class"": 6, ""age_attitude"": 6}"
